实例规格,vCPU,内存（GiB）,网络带宽基础/突发（Gbit/s）,网络收发包PPS,连接数,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数,云盘基础IOPS,云盘基础带宽（Gbit/s）
ecs.g6r.large,2,8,1/10,90万,最高25万,2,3,6,1,1.25万,1
ecs.g6r.xlarge,4,16,1.5/10,100万,最高25万,4,4,15,1,2万,1.5
ecs.g6r.2xlarge,8,32,2.5/10,160万,最高25万,8,4,15,1,3万,2
ecs.g6r.4xlarge,16,64,5/10,200万,30万,8,8,30,1,6万,3
ecs.g6r.8xlarge,32,128,8/10,300万,60万,16,7,30,1,7.5万,4
ecs.g6r.16xlarge,64,256,16/无,600万,90万,32,7,30,1,15万,8
