实例规格,vCPU,内存（GiB）,网络基础带宽（Gbit/s）,网络收发包PPS,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数
ecs.c5.large,2,4,1,30万,2,2,6,1
ecs.c5.xlarge,4,8,1.5,50万,2,3,10,1
ecs.c5.2xlarge,8,16,2.5,80万,4,4,10,1
ecs.c5.3xlarge,12,24,4,90万,4,6,10,1
ecs.c5.4xlarge,16,32,5,100万,4,8,20,1
ecs.c5.6xlarge,24,48,7.5,150万,6,8,20,1
ecs.c5.8xlarge,32,64,10,200万,8,8,20,1
ecs.c5.16xlarge,64,128,20,400万,16,8,20,1
