实例规格,vCPU,内存（GiB）,本地存储,网络基础带宽（Gbit/s）,网络收发包PPS（万）
ecs.d1ne.2xlarge,8,32.0,4 * 5905 GB(4 * 5500 GiB),6.0,100
ecs.d1ne.4xlarge,16,64.0,8 * 5905 GB(8 * 5500 GiB),12.0,160
ecs.d1ne.6xlarge,24,96.0,12 * 5905 GB(12 * 5500 GiB),16.0,200
ecs.d1ne-c8d3.8xlarge,32,128.0,12 * 5905 GB(12 * 5500 GiB),20.0,200
ecs.d1ne.8xlarge,32,128.0,16 * 5905 GB(16 * 5500 GiB),20.0,250
ecs.d1ne-c14d3.14xlarge,56,160.0,12 * 5905 GB(12 * 5500 GiB),35.0,450
ecs.d1ne.14xlarge,56,224.0,28 * 5905 GB(28 * 5500 GiB),35.0,450
