实例规格,vCPU,内存（GiB）,网络带宽（Gbit/s）,网络收发包PPS,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数
ecs.se1ne.large,2,16,1,30万,2,2,6,1
ecs.se1ne.xlarge,4,32,1.5,50万,2,3,10,1
ecs.se1ne.2xlarge,8,64,2,100万,4,4,10,1
ecs.se1ne.3xlarge,12,96,2.5,130万,4,6,10,1
ecs.se1ne.4xlarge,16,128,3,160万,4,8,20,1
ecs.se1ne.6xlarge,24,192,4.5,200万,6,8,20,1
ecs.se1ne.8xlarge,32,256,6,250万,8,8,20,1
ecs.se1ne.14xlarge,56,480,10,450万,14,8,20,1
