实例规格,vCPU,内存（GiB）,本地存储,网络基础带宽（Gbit/s）,网络收发包PPS（万）
ecs.d2s.5xlarge,20,88.0,8 * 7838 GB(8 * 7300 GiB),12.0,160
ecs.d2s.10xlarge,40,176.0,15 * 7838 GB(15 * 7300 GiB),20.0,200
ecs.d2s.20xlarge,80,352.0,30 * 7838 GB(30 * 7300 GiB),35.0,450
