实例规格,vCPU,内存（GiB）,GPU,GPU显存,网络基础带宽（Gbit/s）,网络收发包PPS,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数
ecs.gn6e-c12g1.3xlarge,12,92,NVIDIA V100 * 1,32GB * 1,5,80万,8,6,10,1
ecs.gn6e-c12g1.6xlarge,24,182,NVIDIA V100 * 2,32GB * 2,8,120万,8,8,20,1
ecs.gn6e-c12g1.12xlarge,48,368,NVIDIA V100 * 4,32GB * 4,16,240万,8,8,20,1
ecs.gn6e-c12g1.24xlarge,96,736,NVIDIA V100 * 8,32GB * 8,32,480万,16,8,20,1
