实例规格,vCPU,内存（GiB）,本地存储,网络基础带宽（Gbit/s）,网络收发包PPS（万）
ecs.d1.2xlarge,8,32.0,4 * 5905 GB(4 * 5500 GiB),3.0,30
ecs.d1.3xlarge,12,48.0,6 * 5905 GB(6 * 5500 GiB),4.0,40
ecs.d1.4xlarge,16,64.0,8 * 5905 GB(8 * 5500 GiB),6.0,60
ecs.d1.6xlarge,24,96.0,12 * 5905 GB(12 * 5500 GiB),8.0,80
ecs.d1-c8d3.8xlarge,32,128.0,12 * 5905 GB(12 * 5500 GiB),10.0,100
ecs.d1.8xlarge,32,128.0,16 * 5905 GB(16 * 5500 GiB),10.0,100
ecs.d1-c14d3.14xlarge,56,160.0,12 * 5905 GB(12 * 5500 GiB),17.0,180
ecs.d1.14xlarge,56,224.0,28 * 5905 GB(28 * 5500 GiB),17.0,180
