实例规格,vCPU,内存（GiB）,网络基础带宽（Gbit/s）,网络收发包PPS,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数
ecs.sn2ne.large,2,8,1,30万,2,2,6,1
ecs.sn2ne.xlarge,4,16,1.5,50万,2,3,10,1
ecs.sn2ne.2xlarge,8,32,2,100万,4,4,10,1
ecs.sn2ne.3xlarge,12,48,2.5,130万,4,6,10,1
ecs.sn2ne.4xlarge,16,64,3,160万,4,8,20,1
ecs.sn2ne.6xlarge,24,96,4.5,200万,6,8,20,1
ecs.sn2ne.8xlarge,32,128,6,250万,8,8,20,1
ecs.sn2ne.14xlarge,56,224,10,450万,14,8,20,1
