实例规格,vCPU,内存（GiB）,GPU,GPU显存,网络基础带宽（Gbit/s）,网络收发包PPS,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数
ecs.gn5i-c2g1.large,2,8,NVIDIA P4 * 1,8GB * 1,1,10万,2,2,6,1
ecs.gn5i-c4g1.xlarge,4,16,NVIDIA P4 * 1,8GB * 1,1.5,20万,2,3,10,1
ecs.gn5i-c8g1.2xlarge,8,32,NVIDIA P4 * 1,8GB * 1,2,40万,4,4,10,1
ecs.gn5i-c16g1.4xlarge,16,64,NVIDIA P4 * 1,8GB * 1,3,80万,4,8,20,1
ecs.gn5i-c16g1.8xlarge,32,128,NVIDIA P4 * 2,8GB * 2,6,120万,8,8,20,1
ecs.gn5i-c28g1.14xlarge,56,224,NVIDIA P4 * 2,8GB * 2,10,200万,14,8,20,1
