实例规格,vCPU,内存（GiB）,网络基础带宽（Gbit/s）,网络收发包PPS,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数
ecs.sn1ne.large,2,4,1,30万,2,2,6,1
ecs.sn1ne.xlarge,4,8,1.5,50万,2,3,10,1
ecs.sn1ne.2xlarge,8,16,2,100万,4,4,10,1
ecs.sn1ne.3xlarge,12,24,2.5,130万,4,6,10,1
ecs.sn1ne.4xlarge,16,32,3,160万,4,8,20,1
ecs.sn1ne.6xlarge,24,48,4.5,200万,6,8,20,1
ecs.sn1ne.8xlarge,32,64,6,250万,8,8,20,1
