实例规格,vCPU,内存（GiB）,网络带宽基础/突发（Gbit/s）,网络收发包PPS,连接数,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数,云盘基础IOPS,云盘基础带宽（Gbit/s）
ecs.r6e.large,2,16,1.2/最高10,90万,最高25万,2,3,6,1,2万,1
ecs.r6e.xlarge,4,32,2/最高10,100万,最高25万,4,4,15,1,4万,1.5
ecs.r6e.2xlarge,8,64,3/最高10,160万,最高25万,8,4,15,1,5万,2
ecs.r6e.4xlarge,16,128,6/最高10,300万,30万,8,8,30,1,8万,3
ecs.r6e.8xlarge,32,256,10/无,600万,60万,16,8,30,1,15万,5
ecs.r6e.13xlarge,52,384,16/无,900万,100万,32,7,30,1,24万,8
ecs.r6e.26xlarge,104,768,32/无,2400万,180万,32,15,30,1,48万,16
