实例规格,vCPU,内存（GiB）,本地存储,网络带宽基础/突发（Gbit/s）,网络收发包PPS,云盘基础IOPS,云盘基础带宽（Gbit/s）
ecs.i4g.4xlarge,16,64,1 * 959 GB(1 * 894 GiB),8/25,300万,10万,6
ecs.i4g.8xlarge,32,128,1 * 1919 GB(1 * 1788 GiB),16/25,600万,15万,8
ecs.i4g.16xlarge,64,256,2 * 1919 GB(2 * 1788 GiB),32/无,1200万,30万,16
ecs.i4g.32xlarge,128,512,4 * 1919 GB(4 * 1788 GiB),64/无,2400万,60万,32
