实例规格,vCPU,内存（GiB）,本地存储,网络带宽基础/突发（Gbit/s）,网络收发包PPS,云盘基础IOPS,云盘基础带宽（Gbit/s）
ecs.i3g.2xlarge,8,32,1 * 479 GB(1 * 447 GiB),3/10,175万,5.25万,2
ecs.i3g.4xlarge,16,64,1 * 959 GB(1 * 894 GiB),5/10,350万,8.4万,3
ecs.i3g.8xlarge,32,128,2 * 959 GB(2 * 894 GiB),12/无,700万,15.75万,5
ecs.i3g.13xlarge,52,192,3 * 959 GB(3 * 894 GiB),16/无,1200万,25.2万,8
ecs.i3g.26xlarge,104,384,6 * 959 GB(6 * 894 GiB),32/无,2400万,50万,16
