实例规格,vCPU,内存（GiB）,网络带宽基础/突发（Gbit/s）,网络收发包PPS,连接数,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数,云盘基础IOPS,云盘基础带宽（Gbit/s）
ecs.hfr7.large,2,16,1.2/10,90万,25万,2,2,6,6,2万,1
ecs.hfr7.xlarge,4,32,2/10,100万,25万,4,3,15,15,3万,1.5
ecs.hfr7.2xlarge,8,64,3/10,160万,25万,8,4,15,15,4.5万,2
ecs.hfr7.3xlarge,12,96,4.5/10,200万,25万,8,6,15,15,6万,2.5
ecs.hfr7.4xlarge,16,128,6/10,250万,30万,8,8,30,30,7.5万,3
ecs.hfr7.6xlarge,24,192,8/10,300万,45万,12,8,30,30,9万,4
ecs.hfr7.8xlarge,32,256,10/无,400万,60万,16,8,30,30,10.5万,5
ecs.hfr7.12xlarge,48,384,16/无,600万,100万,24,8,30,30,15万,8
ecs.hfr7.24xlarge,96,768,32/无,1200万,180万,32,15,30,30,30万,16
