实例规格,vCPU,内存（GiB）,网络带宽基础/突发（Gbit/s）,网络收发包PPS,连接数,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数,云盘基础IOPS,云盘基础带宽（Gbit/s）
ecs.g6.large,2,8,1/最高3,30万,最高25万,2,2,6,1,1万,1
ecs.g6.xlarge,4,16,1.5/最高5,50万,最高25万,4,3,10,1,2万,1.5
ecs.g6.2xlarge,8,32,2.5/最高8,80万,最高25万,8,4,10,1,2.5万,2
ecs.g6.3xlarge,12,48,4/最高10,90万,最高25万,8,6,10,1,3万,2.5
ecs.g6.4xlarge,16,64,5/最高10,100万,30万,8,8,20,1,4万,3
ecs.g6.6xlarge,24,96,7.5/最高10,150万,45万,12,8,20,1,5万,4
ecs.g6.8xlarge,32,128,10/无,200万,60万,16,8,20,1,6万,5
ecs.g6.13xlarge,52,192,12.5/无,300万,90万,32,7,20,1,10万,8
ecs.g6.26xlarge,104,384,25/无,600万,180万,32,15,20,1,20万,16
