CPU,内存,中国大陆linux/Windows
2,2,0.25
2,4,0.30
2,8,0.35
4,4,0.50
4,8,0.60
4,16,0.80
8,16,1.19
8,32,1.60
12,24,1.79
12,48,2.39
16,32,2.38
16,64,3.18
24,48,3.58
24,96,4.78
32,64,4.77
32,128,6.37
48,96,7.15
48,192,9.55
64,128,9.54
64,256,12.74
96,192,14.30
96,384,19.10
128,256,19.07
128,512,25.47
256,512,38.14
