套餐类型名,vCPU(个),family_id,内存容量(GB),PPS(万),内网带宽(Gbps),弹性网卡数,网卡队列数,单网卡私有IP数,价格单位,中国大陆Linux/Windows,"数据盘容量(GB,本地SSD)",新加坡Linux,新加坡Windows,连接数(万),云盘IOPS,云盘带宽(Gbps),GPU,GPU显存,多队列,网卡数,金融专区,中国香港Linux,中国香港Windows
S3.8C,8,标准型,32,85,2.0,3.0,8.0,10.0,元/小时,3.0056,0-800,,,,,,,,,,,,
S3.8D,8,标准型,64,85,2.0,3.0,8.0,10.0,,,0-800,,,,,,,,,,,,
S3.12B,12,标准型,24,85,2.0,3.0,12.0,15.0,元/小时,3.006,0-1000,,,,,,,,,,,,
S3.12C,12,标准型,48,85,2.0,3.0,12.0,15.0,元/小时,4.5084,0-1000,,,,,,,,,,,,
S3.16A,16,标准型,16,85,3.0,3.0,16.0,20.0,,,0-1200,,,,,,,,,,,,
S3.16B,16,标准型,32,85,3.0,3.0,16.0,20.0,元/小时,4.008,0-1200,,,,,,,,,,,,
S3.16C,16,标准型,64,85,3.0,3.0,16.0,20.0,元/小时,6.0112,0-1200,,,,,,,,,,,,
S3.24B,24,标准型,48,85,3.0,4.0,16.0,20.0,元/小时,6.012,0-1500,,,,,,,,,,,,
S3.24C,24,标准型,96,85,3.0,4.0,16.0,20.0,元/小时,9.0168,0-1500,,,,,,,,,,,,
S3.32B,32,标准型,64,85,5.0,6.0,16.0,20.0,元/小时,8.016,0-2000,,,,,,,,,,,,
S3.32C,32,标准型,128,85,5.0,6.0,16.0,20.0,元/小时,12.0224,0-2000,,,,,,,,,,,,
S4.1A,1,标准型,1,25,1.5,2.0,1.0,6.0,元/小时,0.2384,-,0.3815,0.763,,,,,,,,,,
S4.1B,1,标准型,2,25,1.5,2.0,1.0,6.0,元/小时,0.2812,-,0.45,0.9,,,,,,,,,,
S4.1C,1,标准型,4,25,1.5,2.0,1.0,6.0,元/小时,0.3667,-,0.587,1.174,,,,,,,,,,
