型号,GPU,GPU显存 (GDDR6),vCPU (核),内存 (GiB),网络收发包能力 (万PPS),网络带宽能力 (Gbit/s),多队列
GN8I.16C1,GDP401*1,24GB*1,16,64,120,6,8
GN8I.32C2,GDP401*2,24GB*2,32,128,250,10,16
GN8I.64C4,GDP401*4,24GB*4,64,256,250,12,16
GN8I.112C8,GDP401*8,24GB*8,112,448,500,24,16
