套餐类型名,vCPU(个),内存容量(GB),"数据盘容量(GB,本地SSD)",PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个)
I4.16C,16,64,1 × 1788,150,6,1,16,20
I4.32C,32,128,2 × 1788,250,12,1,16,20
I4.64C,64,256,4 × 1788,500,23,1,16,20
