套餐类型名,vCPU(个),内存容量(GB),"数据盘容量(GB,本地SSD)",PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个)
C7.2B,2,4,-,100,4,3,2,6
C7.2C,2,8,-,100,4,3,2,6
C7.4B,4,8,-,120,6,4,4,15
C7.4C,4,16,-,120,6,4,4,15
C7.8B,8,16,-,160,8,4,8,15
C7.8C,8,32,-,160,8,4,8,15
C7.12B,12,24,-,240,12,8,12,15
C7.12C,12,48,-,240,12,8,12,15
C7.16B,16,32,-,300,15,8,16,30
C7.16C,16,64,-,300,15,8,16,30
C7.24B,24,48,-,450,20,8,24,30
C7.24C,24,96,-,450,20,8,24,30
C7.32B,32,64,-,600,25,8,32,30
C7.32C,32,128,-,600,25,8,32,30
C7.48B,48,96,-,900,40,8,32,30
C7.48C,48,192,-,900,40,8,32,30
C7.64B,64,128,-,1200,50,8,32,30
C7.64C,64,256,-,1200,50,8,32,30
C7.96B,96,192,-,1800,75,15,32,30
C7.96C,96,384,-,1800,75,15,32,30
C7.108B,108,216,-,2400,100,15,32,50
C7.108C,108,432,-,2400,100,15,32,50
