instance_type,cpu,memory,hourly_price,instance_label,family_id,processor_model,network_bandwidth,network_pps,disk,platform,l1_cache,l2_cache,l3_cache,processor_base_frequency,processor_turbo_frequency,numa_count,hyper_threading,region,disk_iops,disk_bandwidth
ecs.g8y.4xlarge,16.0,64.0,,通用型,g8y,,10/25,300万,0,aliyun,,,,,,,,,8万/最高11万,5/最高10
ecs.g8y.8xlarge,32.0,128.0,,通用型,g8y,,16/25,500万,0,aliyun,,,,,,,,,12.5万,10
ecs.g8y.16xlarge,64.0,256.0,,通用型,g8y,,32/无,1000万,0,aliyun,,,,,,,,,25万,16
ecs.g8y.32xlarge,128.0,512.0,,通用型,g8y,,64/无,2000万,0,aliyun,,,,,,,,,50万,32
ecs.g6e.large,2.0,8.0,,通用型,g6e,,1.2/最高10,90万,0,aliyun,,,,,,,,,2万,1.0
ecs.g6e.xlarge,4.0,16.0,,通用型,g6e,,2/最高10,100万,0,aliyun,,,,,,,,,4万,1.5
ecs.g6e.2xlarge,8.0,32.0,,通用型,g6e,,3/最高10,160万,0,aliyun,,,,,,,,,5万,2.0
ecs.g6e.4xlarge,16.0,64.0,,通用型,g6e,,6/最高10,300万,0,aliyun,,,,,,,,,8万,3.0
ecs.g6e.8xlarge,32.0,128.0,,通用型,g6e,,10/无,600万,0,aliyun,,,,,,,,,15万,5.0
ecs.g6e.13xlarge,52.0,192.0,,通用型,g6e,,16/无,900万,0,aliyun,,,,,,,,,24万,8.0
ecs.g6e.26xlarge,104.0,384.0,,通用型,g6e,,32/无,2400万,0,aliyun,,,,,,,,,48万,16.0
ecs.g7a.large,2.0,8.0,,通用型,g7a,,1/最高10,90万,0,aliyun,,,,,,,,,1.25万/最高11万,1/最高6
ecs.g7a.xlarge,4.0,16.0,,通用型,g7a,,1.5/最高10,100万,0,aliyun,,,,,,,,,2万/最高11万,1.5/最高6
ecs.g7a.2xlarge,8.0,32.0,,通用型,g7a,,2.5/最高10,160万,0,aliyun,,,,,,,,,3万/最高11万,2/最高6
ecs.g7a.4xlarge,16.0,64.0,,通用型,g7a,,7/最高12.5,200万,0,aliyun,,,,,,,,,6万/最高11万,3.7/最高10.5
ecs.g7a.8xlarge,32.0,128.0,,通用型,g7a,,8/最高10,300万,0,aliyun,,,,,,,,,7.5万/最高11万,4.1/最高11
ecs.g7a.16xlarge,64.0,256.0,,通用型,g7a,,16/无,600万,0,aliyun,,,,,,,,,15万/无,8.2/无
ecs.g7a-nps1.16xlarge,64.0,256.0,,通用型,g7a-nps1,,16/无,600万,0,aliyun,,,,,,,,,15万/无,8.2/无
ecs.g7a.32xlarge,128.0,512.0,,通用型,g7a,,32/无,1200万,0,aliyun,,,,,,,,,30万/无,16.4/无
ecs.g6r.large,2.0,8.0,,通用型,g6r,,1/10,90万,0,aliyun,,,,,,,,,1.25万,1.0
ecs.g6r.xlarge,4.0,16.0,,通用型,g6r,,1.5/10,100万,0,aliyun,,,,,,,,,2万,1.5
ecs.g6r.2xlarge,8.0,32.0,,通用型,g6r,,2.5/10,160万,0,aliyun,,,,,,,,,3万,2.0
ecs.g6r.4xlarge,16.0,64.0,,通用型,g6r,,5/10,200万,0,aliyun,,,,,,,,,6万,3.0
ecs.g6r.8xlarge,32.0,128.0,,通用型,g6r,,8/10,300万,0,aliyun,,,,,,,,,7.5万,4.0
ecs.g6r.16xlarge,64.0,256.0,,通用型,g6r,,16/无,600万,0,aliyun,,,,,,,,,15万,8.0
ecs.i3.xlarge,4.0,32.0,,本地SSD型,i3,,1.5/10,100万,0,aliyun,,,,,,,,,4万,1.5
