instance_type,cpu,memory,hourly_price,instance_label,family_id,processor_model,network_bandwidth,network_pps,disk,platform,l1_cache,l2_cache,l3_cache,processor_base_frequency,processor_turbo_frequency,numa_count,hyper_threading,region,disk_iops,disk_bandwidth
ecs.i1.2xlarge,8.0,32.0,,本地SSD型,i1,,1.5,40万,0,aliyun,,,,,,,,,,
ecs.i1.3xlarge,12.0,48.0,,本地SSD型,i1,,2.0,40万,0,aliyun,,,,,,,,,,
ecs.i1.4xlarge,16.0,64.0,,本地SSD型,i1,,3.0,50万,0,aliyun,,,,,,,,,,
ecs.i1-c5d1.4xlarge,16.0,64.0,,本地SSD型,i1-c5d1,,3.0,40万,0,aliyun,,,,,,,,,,
ecs.i1.6xlarge,24.0,96.0,,本地SSD型,i1,,4.5,60万,0,aliyun,,,,,,,,,,
ecs.i1.8xlarge,32.0,128.0,,本地SSD型,i1,,6.0,80万,0,aliyun,,,,,,,,,,
ecs.i1-c10d1.8xlarge,32.0,128.0,,本地SSD型,i1-c10d1,,6.0,80万,0,aliyun,,,,,,,,,,
ecs.i1.14xlarge,56.0,224.0,,本地SSD型,i1,,10.0,120万,0,aliyun,,,,,,,,,,
ecs.ebmc8y.32xlarge,128.0,256.0,,,ebmc8y,,64/无,2000万,0,aliyun,,,,,,,,,50万/无,32/无
ecs.hfg6.large,2.0,8.0,,高主频型,hfg6,,1/3,30万,0,aliyun,,,,,,,,,1万,1.0
ecs.hfg6.xlarge,4.0,16.0,,高主频型,hfg6,,1.5/5,50万,0,aliyun,,,,,,,,,2万,1.5
ecs.hfg6.2xlarge,8.0,32.0,,高主频型,hfg6,,2.5/8,80万,0,aliyun,,,,,,,,,2.5万,2.0
ecs.hfg6.3xlarge,12.0,48.0,,高主频型,hfg6,,4/10,90万,0,aliyun,,,,,,,,,3万,2.5
ecs.hfg6.4xlarge,16.0,64.0,,高主频型,hfg6,,5/10,100万,0,aliyun,,,,,,,,,4万,3.0
ecs.hfg6.6xlarge,24.0,96.0,,高主频型,hfg6,,7.5/10,150万,0,aliyun,,,,,,,,,5万,4.0
ecs.hfg6.8xlarge,32.0,128.0,,高主频型,hfg6,,10/无,200万,0,aliyun,,,,,,,,,6万,5.0
ecs.hfg6.10xlarge,40.0,192.0,,高主频型,hfg6,,12.5/无,300万,0,aliyun,,,,,,,,,10万,8.0
ecs.hfg6.16xlarge,64.0,256.0,,高主频型,hfg6,,20/无,400万,0,aliyun,,,,,,,,,12万,10.0
ecs.hfg6.20xlarge,80.0,384.0,,高主频型,hfg6,,25/无,600万,0,aliyun,,,,,,,,,20万,16.0
ecs.g7t.large,2.0,8.0,,通用型,g7t,,2/最高10,90万,0,aliyun,,,,,,,,,2万/最高11万,1.5/最高6
ecs.g7t.xlarge,4.0,16.0,,通用型,g7t,,3/最高10,100万,0,aliyun,,,,,,,,,4万/最高11万,2/最高6
ecs.g7t.2xlarge,8.0,32.0,,通用型,g7t,,5/最高10,160万,0,aliyun,,,,,,,,,5万/最高11万,3/最高6
ecs.g7t.3xlarge,12.0,48.0,,通用型,g7t,,8/最高10,240万,0,aliyun,,,,,,,,,7万/最高11万,4/最高6
ecs.g7t.4xlarge,16.0,64.0,,通用型,g7t,,10/最高25,300万,0,aliyun,,,,,,,,,8万/最高11万,5/最高6
ecs.g7t.6xlarge,24.0,96.0,,通用型,g7t,,12/最高25,450万,0,aliyun,,,,,,,,,11万/无,6/无
ecs.g7t.8xlarge,32.0,128.0,,通用型,g7t,,16/最高25,600万,0,aliyun,,,,,,,,,15万/无,8/无
ecs.g7t.16xlarge,64.0,256.0,,通用型,g7t,,32/无,1200万,0,aliyun,,,,,,,,,30万/无,16/无
ecs.g7t.32xlarge,128.0,512.0,,通用型,g7t,,64/无,2400万,0,aliyun,,,,,,,,,60万/无,32/无
ecs.ic5.large,2.0,2.0,,本地SSD型,ic5,,1.0,30万,0,aliyun,,,,,,,,,,
ecs.ic5.xlarge,4.0,4.0,,本地SSD型,ic5,,1.5,50万,0,aliyun,,,,,,,,,,
ecs.ic5.2xlarge,8.0,8.0,,本地SSD型,ic5,,2.5,80万,0,aliyun,,,,,,,,,,
ecs.ic5.3xlarge,12.0,12.0,,本地SSD型,ic5,,4.0,90万,0,aliyun,,,,,,,,,,
ecs.ic5.4xlarge,16.0,16.0,,本地SSD型,ic5,,5.0,100万,0,aliyun,,,,,,,,,,
ecs.ic5.6xlarge,24.0,24.0,,本地SSD型,ic5,,7.5,150万,0,aliyun,,,,,,,,,,
ecs.ic5.8xlarge,32.0,32.0,,本地SSD型,ic5,,10.0,200万,0,aliyun,,,,,,,,,,
ecs.ic5.16xlarge,64.0,64.0,,本地SSD型,ic5,,20.0,300万,0,aliyun,,,,,,,,,,
ecs.ebmg6a.64xlarge,256.0,1024.0,,,ebmg6a,,64,2400万,0,aliyun,,,,,,,,,60万,32
ecs.vgn6i-m4-vws.xlarge,4.0,23.0,,,vgn6i-m4-vws,,2.0,50万,0,aliyun,,,,,,,,,,
ecs.vgn6i-m8-vws.2xlarge,10.0,46.0,,,vgn6i-m8-vws,,4.0,80万,0,aliyun,,,,,,,,,,
ecs.vgn6i-m16-vws.5xlarge,20.0,92.0,,,vgn6i-m16-vws,,7.5,120万,0,aliyun,,,,,,,,,,
ecs.ebmg8y.32xlarge,128.0,512.0,,,ebmg8y,,64/无,2000万,0,aliyun,,,,,,,,,50万/无,32/无
ecs.ebmg7a.64xlarge,256.0,1024.0,,,ebmg7a,,64,2400万,0,aliyun,,,,,,,,,60万,32
ecs.ebmg6e.26xlarge,104.0,384.0,,,ebmg6e,,32,2400万,0,aliyun,,,,,,,,,48万,16
ecs.g6t.large,2.0,8.0,,通用型,g6t,,1.2/最高10,90万,0,aliyun,,,,,,,,,2万,1.0
ecs.g6t.xlarge,4.0,16.0,,通用型,g6t,,2/最高10,100万,0,aliyun,,,,,,,,,4万,1.5
ecs.g6t.2xlarge,8.0,32.0,,通用型,g6t,,3/最高10,160万,0,aliyun,,,,,,,,,5万,2.0
ecs.g6t.4xlarge,16.0,64.0,,通用型,g6t,,6/最高10,300万,0,aliyun,,,,,,,,,8万,3.0
ecs.g6t.8xlarge,32.0,128.0,,通用型,g6t,,10/无,600万,0,aliyun,,,,,,,,,15万,5.0
ecs.g6t.13xlarge,52.0,192.0,,通用型,g6t,,16/无,900万,0,aliyun,,,,,,,,,24万,8.0
ecs.g6t.26xlarge,104.0,384.0,,通用型,g6t,,32/无,2400万,0,aliyun,,,,,,,,,48万,16.0
ecs.ebmc6a.64xlarge,256.0,512.0,,,ebmc6a,,64,2400万,0,aliyun,,,,,,,,,60万,32
ecs.c7t.large,2.0,4.0,,计算型,c7t,,2/最高10,90万,0,aliyun,,,,,,,,,2万/最高11万,1.5/最高6
ecs.c7t.xlarge,4.0,8.0,,计算型,c7t,,3/最高10,100万,0,aliyun,,,,,,,,,4万/最高11万,2/最高6
ecs.c7t.2xlarge,8.0,16.0,,计算型,c7t,,5/最高10,160万,0,aliyun,,,,,,,,,5万/最高11万,3/最高6
ecs.c7t.3xlarge,12.0,24.0,,计算型,c7t,,8/最高10,240万,0,aliyun,,,,,,,,,7万/最高11万,4/最高6
ecs.c7t.4xlarge,16.0,32.0,,计算型,c7t,,10/最高25,300万,0,aliyun,,,,,,,,,8万/最高11万,5/最高6
ecs.c7t.6xlarge,24.0,48.0,,计算型,c7t,,12/最高25,450万,0,aliyun,,,,,,,,,11万/无,6/无
ecs.c7t.8xlarge,32.0,64.0,,计算型,c7t,,16/最高25,600万,0,aliyun,,,,,,,,,15万/无,8/无
ecs.c7t.16xlarge,64.0,128.0,,计算型,c7t,,32/无,1200万,0,aliyun,,,,,,,,,30万/无,16/无
ecs.c7t.32xlarge,128.0,256.0,,计算型,c7t,,64/无,2400万,0,aliyun,,,,,,,,,60万/无,32/无
ecs.se1.large,2.0,16.0,,,se1,,0.5,10万,0,aliyun,,,,,,,,,,
ecs.se1.xlarge,4.0,32.0,,,se1,,0.8,20万,0,aliyun,,,,,,,,,,
ecs.se1.2xlarge,8.0,64.0,,,se1,,1.5,40万,0,aliyun,,,,,,,,,,
ecs.se1.4xlarge,16.0,128.0,,,se1,,3.0,50万,0,aliyun,,,,,,,,,,
ecs.se1.8xlarge,32.0,256.0,,,se1,,6.0,80万,0,aliyun,,,,,,,,,,
ecs.se1.14xlarge,56.0,480.0,,,se1,,10.0,120万,0,aliyun,,,,,,,,,,
ecs.c9i.large,2.0,4.0,,计算型,c9i,,2.5/最高15,100万,0,aliyun,,,,,,,,,2.5万/最高20万,2/最高10
ecs.c9i.xlarge,4.0,8.0,,计算型,c9i,,4/最高15,120万,0,aliyun,,,,,,,,,5万/最高20万,2.5/最高10
ecs.c9i.2xlarge,8.0,16.0,,计算型,c9i,,6/最高15,160万,0,aliyun,,,,,,,,,6万/最高20万,4/最高10
ecs.c9i.3xlarge,12.0,24.0,,计算型,c9i,,10/最高15,240万,0,aliyun,,,,,,,,,8万/最高20万,5/最高10
ecs.c9i.4xlarge,16.0,32.0,,计算型,c9i,,12/最高25,300万,0,aliyun,,,,,,,,,10万/最高20万,6/最高10
ecs.c9i.6xlarge,24.0,48.0,,计算型,c9i,,15/最高25,450万,0,aliyun,,,,,,,,,12万/最高20万,7.5/最高10
ecs.c9i.8xlarge,32.0,64.0,,计算型,c9i,,20/最高32,600万,0,aliyun,,,,,,,,,20万/最高30万,10/最高12
ecs.c9i.12xlarge,48.0,96.0,,计算型,c9i,,25/最高32,900万,0,aliyun,,,,,,,,,24万/最高32万,12/最高15
ecs.c9i.16xlarge,64.0,128.0,,计算型,c9i,,28/最高36,1200万,0,aliyun,,,,,,,,,30万/最高40万,16/最高24
ecs.c9i.24xlarge,96.0,192.0,,计算型,c9i,,32/最高48,1800万,0,aliyun,,,,,,,,,35万/最高60万,20/最高28
ecs.c9i.32xlarge,128.0,256.0,,计算型,c9i,,36/最高50,2000万,0,aliyun,,,,,,,,,40万/最高65万,24/最高28
ecs.c9i.48xlarge,192.0,384.0,,计算型,c9i,,64/无,2400万,0,aliyun,,,,,,,,,50万/最高80万,32/无
ecs.i4.large,2.0,16.0,,本地SSD型,i4,,2.5/15,90万,0,aliyun,,,,,,,,,2万/最高11万,1.5/6
ecs.i4.xlarge,4.0,32.0,,本地SSD型,i4,,4/15,100万,0,aliyun,,,,,,,,,4万/最高11万,2/6
ecs.i4.2xlarge,8.0,64.0,,本地SSD型,i4,,6/15,160万,0,aliyun,,,,,,,,,5万/最高11万,3/6
ecs.i4.4xlarge,16.0,128.0,,本地SSD型,i4,,10/25,300万,0,aliyun,,,,,,,,,8万/最高11万,5/6
ecs.i4.8xlarge,32.0,256.0,,本地SSD型,i4,,25/无,600万,0,aliyun,,,,,,,,,15万/无,8/无
ecs.i4.16xlarge,64.0,512.0,,本地SSD型,i4,,50/无,1200万,0,aliyun,,,,,,,,,30万/无,16/无
ecs.i4.32xlarge,128.0,1024.0,,本地SSD型,i4,,100/无,2400万,0,aliyun,,,,,,,,,60万/无,32/无
ecs.gn7s-c8g1.2xlarge,8.0,60.0,,通用型,gn7s-c8g1,,16,600万,0,aliyun,,,,,,,,,,
ecs.gn7s-c16g1.4xlarge,16.0,120.0,,通用型,gn7s-c16g1,,16,600万,0,aliyun,,,,,,,,,,
ecs.gn7s-c32g1.8xlarge,32.0,250.0,,通用型,gn7s-c32g1,,16,600万,0,aliyun,,,,,,,,,,
ecs.gn7s-c32g1.16xlarge,64.0,500.0,,通用型,gn7s-c32g1,,32,1200万,0,aliyun,,,,,,,,,,
ecs.gn7s-c32g1.32xlarge,128.0,1000.0,,通用型,gn7s-c32g1,,64,2400万,0,aliyun,,,,,,,,,,
ecs.gn7s-c48g1.12xlarge,48.0,380.0,,通用型,gn7s-c48g1,,16,600万,0,aliyun,,,,,,,,,,
ecs.gn7s-c56g1.14xlarge,56.0,440.0,,通用型,gn7s-c56g1,,16,600万,0,aliyun,,,,,,,,,,
ecs.i4r.4xlarge,16.0,128.0,,本地SSD型,i4r,,8/25,300万,0,aliyun,,,,,,,,,10万,6
ecs.i4r.8xlarge,32.0,256.0,,本地SSD型,i4r,,16/25,600万,0,aliyun,,,,,,,,,15万,8
ecs.i4r.16xlarge,64.0,512.0,,本地SSD型,i4r,,32/无,1200万,0,aliyun,,,,,,,,,30万,16
ecs.i4r.32xlarge,128.0,1024.0,,本地SSD型,i4r,,64/无,2400万,0,aliyun,,,,,,,,,60万,32
ecs.g8i.large,2.0,8.0,,通用型,g8i,,2.5/最高15,100万,0,aliyun,,,,,,,,,2.5万/最高20万,2/最高10
ecs.g8i.xlarge,4.0,16.0,,通用型,g8i,,4/最高15,120万,0,aliyun,,,,,,,,,5万/最高20万,2.5/最高10
ecs.g8i.2xlarge,8.0,32.0,,通用型,g8i,,6/最高15,160万,0,aliyun,,,,,,,,,6万/最高20万,4/最高10
ecs.g8i.3xlarge,12.0,48.0,,通用型,g8i,,10/最高15,240万,0,aliyun,,,,,,,,,8万/最高20万,5/最高10
ecs.g8i.4xlarge,16.0,64.0,,通用型,g8i,,12/最高25,300万,0,aliyun,,,,,,,,,10万/最高20万,6/最高10
ecs.g8i.6xlarge,24.0,96.0,,通用型,g8i,,15/最高25,450万,0,aliyun,,,,,,,,,12万/最高20万,7.5/最高10
ecs.g8i.8xlarge,32.0,128.0,,通用型,g8i,,20/最高25,600万,0,aliyun,,,,,,,,,20万/无,10/无
ecs.g8i.12xlarge,48.0,192.0,,通用型,g8i,,25/无,900万,0,aliyun,,,,,,,,,30万/无,12/无
ecs.g8i.16xlarge,64.0,256.0,,通用型,g8i,,32/无,1200万,0,aliyun,,,,,,,,,36万/无,20/无
ecs.g8i.24xlarge,96.0,384.0,,通用型,g8i,,50/无,1800万,0,aliyun,,,,,,,,,50万/无,24/无
ecs.g8i.48xlarge,192.0,1024.0,,通用型,g8i,,100/无,3000万,0,aliyun,,,,,,,,,100万/无,48/无
ecs.i4g.4xlarge,16.0,64.0,,本地SSD型,i4g,,8/25,300万,0,aliyun,,,,,,,,,10万,6
ecs.i4g.8xlarge,32.0,128.0,,本地SSD型,i4g,,16/25,600万,0,aliyun,,,,,,,,,15万,8
ecs.i4g.16xlarge,64.0,256.0,,本地SSD型,i4g,,32/无,1200万,0,aliyun,,,,,,,,,30万,16
ecs.i4g.32xlarge,128.0,512.0,,本地SSD型,i4g,,64/无,2400万,0,aliyun,,,,,,,,,60万,32
ecs.i4p.2xlarge,8.0,32.0,,本地SSD型,i4p,,5/10,160万,0,aliyun,,,,,,,,,5万/11万,3/6
ecs.i4p.4xlarge,16.0,64.0,,本地SSD型,i4p,,10/25,300万,0,aliyun,,,,,,,,,8万/11万,5/6
ecs.i4p.6xlarge,24.0,96.0,,本地SSD型,i4p,,12/25,450万,0,aliyun,,,,,,,,,11万/无,6/无
ecs.i4p.8xlarge,32.0,128.0,,本地SSD型,i4p,,16/25,600万,0,aliyun,,,,,,,,,15万/无,8/无
ecs.i4p.16xlarge,64.0,256.0,,本地SSD型,i4p,,32/无,1200万,0,aliyun,,,,,,,,,30万/无,16/无
ecs.i4p.32xlarge,128.0,512.0,,本地SSD型,i4p,,64/无,2400万,0,aliyun,,,,,,,,,60万/无,32/无
ecs.ebmc8i.48xlarge,192.0,512.0,,,ebmc8i,,100/无,3000万,0,aliyun,,,,,,,,,100万/无,48/无
ecs.d1.2xlarge,8.0,32.0,,大数据型,d1,,3.0,30,0,aliyun,,,,,,,,,,
ecs.d1.3xlarge,12.0,48.0,,大数据型,d1,,4.0,40,0,aliyun,,,,,,,,,,
ecs.d1.4xlarge,16.0,64.0,,大数据型,d1,,6.0,60,0,aliyun,,,,,,,,,,
ecs.d1.6xlarge,24.0,96.0,,大数据型,d1,,8.0,80,0,aliyun,,,,,,,,,,
ecs.d1-c8d3.8xlarge,32.0,128.0,,大数据型,d1-c8d3,,10.0,100,0,aliyun,,,,,,,,,,
ecs.d1.8xlarge,32.0,128.0,,大数据型,d1,,10.0,100,0,aliyun,,,,,,,,,,
ecs.d1-c14d3.14xlarge,56.0,160.0,,大数据型,d1-c14d3,,17.0,180,0,aliyun,,,,,,,,,,
ecs.d1.14xlarge,56.0,224.0,,大数据型,d1,,17.0,180,0,aliyun,,,,,,,,,,
ecs.sn2ne.large,2.0,8.0,,,sn2ne,,1.0,30万,0,aliyun,,,,,,,,,,
ecs.sn2ne.xlarge,4.0,16.0,,,sn2ne,,1.5,50万,0,aliyun,,,,,,,,,,
ecs.sn2ne.2xlarge,8.0,32.0,,,sn2ne,,2.0,100万,0,aliyun,,,,,,,,,,
ecs.sn2ne.3xlarge,12.0,48.0,,,sn2ne,,2.5,130万,0,aliyun,,,,,,,,,,
ecs.sn2ne.4xlarge,16.0,64.0,,,sn2ne,,3.0,160万,0,aliyun,,,,,,,,,,
ecs.sn2ne.6xlarge,24.0,96.0,,,sn2ne,,4.5,200万,0,aliyun,,,,,,,,,,
ecs.sn2ne.8xlarge,32.0,128.0,,,sn2ne,,6.0,250万,0,aliyun,,,,,,,,,,
ecs.sn2ne.14xlarge,56.0,224.0,,,sn2ne,,10.0,450万,0,aliyun,,,,,,,,,,
ecs.c6e.large,2.0,4.0,,计算型,c6e,,1.2/最高10,90万,0,aliyun,,,,,,,,,2万,1.0
ecs.c6e.xlarge,4.0,8.0,,计算型,c6e,,2/最高10,100万,0,aliyun,,,,,,,,,4万,1.5
ecs.c6e.2xlarge,8.0,16.0,,计算型,c6e,,3/最高10,160万,0,aliyun,,,,,,,,,5万,2.0
ecs.c6e.4xlarge,16.0,32.0,,计算型,c6e,,6/最高10,300万,0,aliyun,,,,,,,,,8万,3.0
ecs.c6e.8xlarge,32.0,64.0,,计算型,c6e,,10/无,600万,0,aliyun,,,,,,,,,15万,5.0
ecs.c6e.13xlarge,52.0,96.0,,计算型,c6e,,16/无,900万,0,aliyun,,,,,,,,,24万,8.0
ecs.c6e.26xlarge,104.0,192.0,,计算型,c6e,,32/无,2400万,0,aliyun,,,,,,,,,48万,16.0
ecs.c7a.large,2.0,4.0,,计算型,c7a,,1/最高10,90万,0,aliyun,,,,,,,,,1.25万/最高11万,1/最高6
ecs.c7a.xlarge,4.0,8.0,,计算型,c7a,,1.5/最高10,100万,0,aliyun,,,,,,,,,2万/最高11万,1.5/最高6
ecs.c7a.2xlarge,8.0,16.0,,计算型,c7a,,2.5/最高10,160万,0,aliyun,,,,,,,,,3万/最高11万,2/最高6
ecs.c7a.4xlarge,16.0,32.0,,计算型,c7a,,5/最高10,200万,0,aliyun,,,,,,,,,6万/最高11万,3/最高6
ecs.c7a.8xlarge,32.0,64.0,,计算型,c7a,,8/最高10,300万,0,aliyun,,,,,,,,,7.5万/最高11万,4/最高6
ecs.c7a-nps1.8xlarge,32.0,64.0,,计算型,c7a-nps1,,8/最高10,300万,0,aliyun,,,,,,,,,7.5万/最高11万,4/最高6
ecs.c7a.16xlarge,64.0,128.0,,计算型,c7a,,16/无,600万,0,aliyun,,,,,,,,,15万/无,8/无
ecs.c7a-nps1.16xlarge,64.0,128.0,,计算型,c7a-nps1,,16/无,600万,0,aliyun,,,,,,,,,15万/无,8/无
ecs.c7a.32xlarge,128.0,256.0,,计算型,c7a,,32/无,1200万,0,aliyun,,,,,,,,,30万/无,16/无
ecs.c6r.large,2.0,4.0,,计算型,c6r,,1/10,90万,0,aliyun,,,,,,,,,1.25万,1.0
ecs.c6r.xlarge,4.0,8.0,,计算型,c6r,,1.5/10,100万,0,aliyun,,,,,,,,,2万,1.5
ecs.c6r.2xlarge,8.0,16.0,,计算型,c6r,,2.5/10,160万,0,aliyun,,,,,,,,,3万,2.0
ecs.c6r.4xlarge,16.0,32.0,,计算型,c6r,,5/10,200万,0,aliyun,,,,,,,,,6万,3.0
ecs.c6r.8xlarge,32.0,64.0,,计算型,c6r,,8/10,300万,0,aliyun,,,,,,,,,7.5万,4.0
ecs.c6r.16xlarge,64.0,128.0,,计算型,c6r,,16/无,600万,0,aliyun,,,,,,,,,15万,8.0
ecs.c7se.large,2.0,4.0,,计算型,c7se,,1.2/最高3,45万,0,aliyun,,,,,,,,,3万/最高15万,3/10
ecs.c7se.xlarge,4.0,8.0,,计算型,c7se,,2/最高5,50万,0,aliyun,,,,,,,,,6万/最高15万,4/10
ecs.c7se.2xlarge,8.0,16.0,,计算型,c7se,,3/最高8,80万,0,aliyun,,,,,,,,,10万/最高15万,6/10
ecs.c7se.3xlarge,12.0,24.0,,计算型,c7se,,4.5/最高10,120万,0,aliyun,,,,,,,,,12万/最高15万,8/10
ecs.c7se.4xlarge,16.0,32.0,,计算型,c7se,,6/最高10,150万,0,aliyun,,,,,,,,,15万/无,10/无
ecs.c7se.6xlarge,24.0,48.0,,计算型,c7se,,8/最高10,225万,0,aliyun,,,,,,,,,20万/无,12/无
ecs.c7se.8xlarge,32.0,64.0,,计算型,c7se,,10/无,300万,0,aliyun,,,,,,,,,30万/无,16/无
ecs.c7se.16xlarge,64.0,128.0,,计算型,c7se,,16/无,600万,0,aliyun,,,,,,,,,50万/无,32/无
ecs.c8y.small,1.0,2.0,,计算型,c8y,,1/10,50万,0,aliyun,,,,,,,,,1万/最高11万,1/最高10
ecs.c8y.large,2.0,4.0,,计算型,c8y,,2/10,90万,0,aliyun,,,,,,,,,2万/最高11万,1.5/最高10
ecs.c8y.xlarge,4.0,8.0,,计算型,c8y,,3/10,100万,0,aliyun,,,,,,,,,4万/最高11万,2/最高10
ecs.c8y.2xlarge,8.0,16.0,,计算型,c8y,,5/10,160万,0,aliyun,,,,,,,,,5万/最高11万,3/最高10
ecs.c8y.4xlarge,16.0,32.0,,计算型,c8y,,10/25,300万,0,aliyun,,,,,,,,,8万/最高11万,5/最高10
ecs.c8y.8xlarge,32.0,64.0,,计算型,c8y,,16/25,500万,0,aliyun,,,,,,,,,12.5万,10
ecs.c8y.16xlarge,64.0,128.0,,计算型,c8y,,32/无,1000万,0,aliyun,,,,,,,,,25万,16
ecs.c8y.32xlarge,128.0,256.0,,计算型,c8y,,64/无,2000万,0,aliyun,,,,,,,,,50万,32
ecs.e4.small,1.0,8.0,,,e4,,0.5,5,0,aliyun,,,,,,,,,,
ecs.e4.large,2.0,16.0,,,e4,,0.5,10,0,aliyun,,,,,,,,,,
ecs.e4.xlarge,4.0,32.0,,,e4,,0.8,15,0,aliyun,,,,,,,,,,
ecs.e4.2xlarge,8.0,64.0,,,e4,,1.2,30,0,aliyun,,,,,,,,,,
ecs.e4.4xlarge,16.0,128.0,,,e4,,2.5,40,0,aliyun,,,,,,,,,,
ecs.g6a.large,2.0,8.0,,通用型,g6a,,1/10,90万,0,aliyun,,,,,,,,,1.25万,1.0
ecs.g6a.xlarge,4.0,16.0,,通用型,g6a,,1.5/10,100万,0,aliyun,,,,,,,,,2万,1.5
ecs.g6a.2xlarge,8.0,32.0,,通用型,g6a,,2.5/10,160万,0,aliyun,,,,,,,,,3万,2.0
ecs.g6a.4xlarge,16.0,64.0,,通用型,g6a,,5/10,200万,0,aliyun,,,,,,,,,6万,3.1
ecs.g6a.8xlarge,32.0,128.0,,通用型,g6a,,8/10,300万,0,aliyun,,,,,,,,,7.5万,4.1
ecs.g6a.16xlarge,64.0,256.0,,通用型,g6a,,16/无,600万,0,aliyun,,,,,,,,,15万,8.2
ecs.g6a.32xlarge,128.0,512.0,,通用型,g6a,,32/无,1200万,0,aliyun,,,,,,,,,30万,16.4
ecs.ebmr5s.24xlarge,96.0,768.0,,,ebmr5s,,32,450万,0,aliyun,,,,,,,,,20万,16
ecs.g7nex.large,2.0,8.0,,通用型,g7nex,,3/最高20,,0,aliyun,,,,,,,,,1万/最高5万,1.5/最高8
ecs.g7nex.xlarge,4.0,16.0,,通用型,g7nex,,5/最高24,,0,aliyun,,,,,,,,,2万/最高5万,2/最高8
ecs.g7nex.2xlarge,8.0,32.0,,通用型,g7nex,,10/最高32,,0,aliyun,,,,,,,,,2.5万/最高5万,3/最高8
ecs.g7nex.4xlarge,16.0,64.0,,通用型,g7nex,,20/最高40,,0,aliyun,,,,,,,,,4万/最高5万,5/最高8
ecs.g7nex.8xlarge,32.0,128.0,,通用型,g7nex,,40/无,,0,aliyun,,,,,,,,,7.5万/无,8/无
ecs.g7nex.16xlarge,64.0,256.0,,通用型,g7nex,,80/无,,0,aliyun,,,,,,,,,15万/无,16/无
ecs.g7nex.32xlarge,128.0,512.0,,通用型,g7nex,,160/无,,0,aliyun,,,,,,,,,30万/无,32/无
ecs.ebmg7se.32xlarge,128.0,512.0,,,ebmg7se,,32,1200万,0,aliyun,,,,,,,,,100万,64
ecs.ebmr8y.32xlarge,128.0,1024.0,,,ebmr8y,,64/无,2000万,0,aliyun,,,,,,,,,50万/无,32/无
ecs.ebmr7a.64xlarge,256.0,2048.0,,,ebmr7a,,64,2400万,0,aliyun,,,,,,,,,60万,32
ecs.ebmr6e.26xlarge,104.0,768.0,,,ebmr6e,,32,2400万,0,aliyun,,,,,,,,,48万,16
ecs.r7se.large,2.0,16.0,,内存型,r7se,,1.2/最高3,45万,0,aliyun,,,,,,,,,3万/最高15万,3/10
ecs.r7se.xlarge,4.0,32.0,,内存型,r7se,,2/最高5,50万,0,aliyun,,,,,,,,,6万/最高15万,4/10
ecs.r7se.2xlarge,8.0,64.0,,内存型,r7se,,3/最高8,80万,0,aliyun,,,,,,,,,10万/最高15万,6/10
ecs.r7se.3xlarge,12.0,96.0,,内存型,r7se,,4.5/最高10,120万,0,aliyun,,,,,,,,,12万/最高15万,8/10
ecs.r7se.4xlarge,16.0,128.0,,内存型,r7se,,6/最高10,150万,0,aliyun,,,,,,,,,15万/无,10/无
ecs.r7se.6xlarge,24.0,192.0,,内存型,r7se,,8/最高10,225万,0,aliyun,,,,,,,,,20万/无,12/无
ecs.r7se.8xlarge,32.0,256.0,,内存型,r7se,,10/无,300万,0,aliyun,,,,,,,,,30万/无,16/无
ecs.r7se.16xlarge,64.0,512.0,,内存型,r7se,,16/无,600万,0,aliyun,,,,,,,,,50万/无,32/无
ecs.gn7i-c8g1.2xlarge,8.0,30.0,,通用型,gn7i-c8g1,,16,160万,0,aliyun,,,,,,,,,,
ecs.gn7i-c16g1.4xlarge,16.0,60.0,,通用型,gn7i-c16g1,,16,300万,0,aliyun,,,,,,,,,,
ecs.gn7i-c32g1.8xlarge,32.0,188.0,,通用型,gn7i-c32g1,,16,600万,0,aliyun,,,,,,,,,,
ecs.gn7i-c32g1.16xlarge,64.0,376.0,,通用型,gn7i-c32g1,,32,1200万,0,aliyun,,,,,,,,,,
ecs.gn7i-c32g1.32xlarge,128.0,752.0,,通用型,gn7i-c32g1,,64,2400万,0,aliyun,,,,,,,,,,
ecs.gn7i-c48g1.12xlarge,48.0,310.0,,通用型,gn7i-c48g1,,16,900万,0,aliyun,,,,,,,,,,
ecs.gn7i-c56g1.14xlarge,56.0,346.0,,通用型,gn7i-c56g1,,16,1200万,0,aliyun,,,,,,,,,,
ecs.gn7i-2x.8xlarge,32.0,128.0,,通用型,gn7i-2x,,16,600万,0,aliyun,,,,,,,,,,
ecs.gn7i-4x.8xlarge,32.0,128.0,,通用型,gn7i-4x,,16,600万,0,aliyun,,,,,,,,,,
ecs.gn7i-4x.16xlarge,64.0,256.0,,通用型,gn7i-4x,,32,1200万,0,aliyun,,,,,,,,,,
ecs.gn7i-8x.32xlarge,128.0,512.0,,通用型,gn7i-8x,,64,2400万,0,aliyun,,,,,,,,,,
ecs.gn7i-8x.16xlarge,64.0,256.0,,通用型,gn7i-8x,,32,1200万,0,aliyun,,,,,,,,,,
ecs.d3c.3xlarge,14.0,56.0,,大数据型,d3c,,8/最高10,160,0,aliyun,,,,,,,,,4/无,3/无
ecs.d3c.7xlarge,28.0,112.0,,大数据型,d3c,,16/最高25,250,0,aliyun,,,,,,,,,5/无,4/无
